text,intent
get me Tomatoes,select
I`d like to order Tomato,select
give me Tomatoes,select
give me pepperoni,select
No smashed avocado,deselect
I will have regular mayonnaise,select
remove  Pickles,deselect
Please add sliced avocado,select
Please add pepperoni,select
get me bread,select
I want Artisan Italian,select
I`d like to order baja chipotle,select
give me Tomato,select
hello,greetings
I want belgioioso fresh mozzarella,select
I don`t want  baja chipotle,deselect
Please remove peppercorn ranch,deselect
I want Swiss,select
No mvp parmesan vinaigrette,deselect
I`d like to order pepperoni,select
remove  pepperoni,deselect
I choose regular mayonnaise,select
I will have bread,select
hi ,greetings
remove  footlong,deselect
remove  salt,deselect
I will have baja chipotle,select
I don`t want  Swiss,deselect
I will have Cucumbers,select
No Green Peppers,deselect
I choose Tomatoes,select
Please remove 6,deselect
I will have Hearty Multigrain,select
No yellow mustard,deselect
Please remove Jalapeños,deselect
Add red wine vinegar,select
Please remove mvp parmesan vinaigrette,deselect
I choose Banana Peppers,select
Please remove Green Peppers,deselect
Please remove addons,deselect
Add sweet onion teriyaki,select
hi i like to order a sub,greetings
Please remove salt,deselect
Please remove Hearty Multigrain,deselect
Please add capicola,select
I will have 6,select
I choose Red Onions,select
Add baja chipotle,select
Please add mvp parmesan vinaigrette,select
remove  Pepper Jack,deselect
get me 6,select
No Swiss,deselect
I choose size,select
hello i like to order a sub,greetings
I`d like to order Provolone,select
add Cucumber,select
Please remove Banana Peppers,deselect
get me Provolone,select
Please remove Lettuce,deselect
I`d like to order Hearty Multigrain,select
hey,greetings
remove  Monterey Cheddar,deselect
remove  Jalapeños,deselect
give me Pepper Jack,select
I don`t want  Artisan Flatbread,deselect
No red wine vinegar,deselect
Add Artisan Italian,select
give me Artisan Flatbread,select
I`d like to order regular mayonnaise,select
Add seasonings,select
remove  veggies,deselect
Add Jalapeños,select
No addons,deselect
I want cheese,select
Please remove regular mayonnaise,deselect
I don`t want  bacon,deselect
I choose oil,select
I`d like to order veggies,select
I choose Pickles,select
I will have oil,select
No capicola,deselect
I don`t want  Banana Peppers,deselect
no Cucumber,deselect
give me Artisan Italian,select
I will have black pepper,select
give me oil,select
get me parmesan cheese,select
Please remove belgioioso fresh mozzarella,deselect
Please add belgioioso fresh mozzarella,select
No regular mayonnaise,deselect
hello i would like to order a subway,
I will have honey mustard,select
Add American Cheese,select
I`d like to order honey mustard,select
Please remove bacon,deselect
give me regular mayonnaise,select
remove  regular mayonnaise,deselect
I don`t want  seasonings,deselect
I will have Artisan Italian,select
I choose seasonings,select
give me black pepper,select
I don`t want  Green Peppers,deselect
I want Artisan Flatbread,select
Please add Pepper Jack,select
No Pickles,deselect
I want Cucumber,select
I don`t want  buffalo sauce,deselect
I`d like to order Lettuce,select
I`d like to order footlong,select
No Jalapeños,deselect
Add Tomatoes,select
I don`t want  capicola,deselect
I choose Cucumbers,select
I choose smashed avocado,select
No footlong,deselect
No sweet onion teriyaki,deselect
get me Swiss,select
I don`t want  6,deselect
remove  Tomato,deselect
get me Artisan Italian,select
No black pepper,deselect
I want honey mustard,select
remove  Provolone,deselect
give me footlong,select
Please remove black pepper,deselect
Please remove capicola,deselect
I will have pepperoni,select
get me smashed avocado,select
Please remove red wine vinegar,deselect
Please add roasted garlic aioli,select
get me Jalapeños,select
I choose bread,select
I will have sweet onion teriyaki,select
I choose Monterey Cheddar,select
remove  honey mustard,deselect
give me Pickles,select
get me buffalo sauce,select
Please remove footlong,deselect
give me sweet onion teriyaki,select
get me peppercorn ranch,select
No Pepper Jack,deselect
Please remove Tomatoes,deselect
I want sweet onion teriyaki,select
I will have Green Peppers,select
I want buffalo sauce,select
I don`t want  roasted garlic aioli,deselect
I want Lettuce,select
I want seasonings,select
Please add Artisan Flatbread,select
I`d like to order buffalo sauce,select
I don`t want  Jalapeños,deselect
remove  Italian Herbs & Cheese,deselect
I will have cheese,select
remove  parmesan cheese,deselect
remove  sauce,deselect
Add Hearty Multigrain,select
I will have sauce,select
I want size,select
I don`t want  Cucumbers,deselect
I don`t want  sliced avocado,deselect
give me Cucumber,select
Please remove bread,deselect
remove  addons,deselect
get me Monterey Cheddar,select
I want Tomato,select
I will have Italian Herbs & Cheese,select
get me regular mayonnaise,select
give me Spinach,select
Please add Green Peppers,select
I don`t want  red wine vinegar,deselect
I`d like to order seasonings,select
Add 6,select
remove Cucumber,deselect
I will have Black Olives,select
Add cheese,select
I don`t want  Tomatoes,deselect
Add footlong,select
remove  6,deselect
Please remove yellow mustard,deselect
get me pepperoni,select
I don`t want  Lettuce,deselect
I want salt,select
I choose Black Olives,select
give me peppercorn ranch,select
Please add seasonings,select
I want oil,select
Add addons,select
remove  peppercorn ranch,deselect
get me roasted garlic aioli,select
I don`t want  parmesan cheese,deselect
I`d like to order parmesan cheese,select
I will have belgioioso fresh mozzarella,select
give me belgioioso fresh mozzarella,select
Please remove oil,deselect
Please add buffalo sauce,select
get me belgioioso fresh mozzarella,select
remove  Green Peppers,deselect
No Black Olives,deselect
No buffalo sauce,deselect
I will have SELECT,select
Please remove Pickles,deselect
Add Pepper Jack,select
remove  Artisan Italian,deselect
I don`t want  American Cheese,deselect
I want bacon,select
I want 6,select
I want pepperoni,select
I want Provolone,select
Add regular mayonnaise,select
I don`t want  sweet onion teriyaki,deselect
I don`t want  Monterey Cheddar,deselect
give me roasted garlic aioli,select
I will have yellow mustard,select
get me Cucumbers,select
No bacon,deselect
I`d like to order Artisan Italian,select
hey,greetings
I`d like to order Spinach,select
I will have American Cheese,select
Please add Tomato,select
I`d like to order roasted garlic aioli,select
get me yellow mustard,select
No salt,deselect
Please remove Red Onions,deselect
Please add oil,select
No Hearty Multigrain,deselect
I will have Artisan Flatbread,select
get me sweet onion teriyaki,select
Add Lettuce,select
Please remove seasonings,deselect
get me Pickles,select
No belgioioso fresh mozzarella,deselect
No Artisan Flatbread,deselect
Add sliced avocado,select
I don`t want  Pepper Jack,deselect
I don`t want  bread,deselect
I will have mvp parmesan vinaigrette,select
get me Hearty Multigrain,select
I don`t want  regular mayonnaise,deselect
remove  oil,deselect
Please add Black Olives,select
I want Pepper Jack,select
I don`t want  pepperoni,deselect
I will have footlong,select
I don`t want  belgioioso fresh mozzarella,deselect
I want capicola,select
Please add Banana Peppers,select
give me red wine vinegar,select
I`d like to order size,select
hello,greetings
Please add Provolone,select
Please add Cucumber,select
get me addons,select
remove  belgioioso fresh mozzarella,deselect
No Italian Herbs & Cheese,deselect
Add mvp parmesan vinaigrette,select
Please add Tomatoes,select
I don`t want  oil,deselect
Add Cucumbers,select
I choose roasted garlic aioli,select
Add peppercorn ranch,select
I choose salt,select
I will have Provolone,select
give me Jalapeños,select
I`d like to order Pickles,select
I choose Artisan Italian,select
I want bread,select
I will have seasonings,select
I choose American Cheese,select
I want veggies,select
I don`t want  honey mustard,deselect
Add oil,select
I choose red wine vinegar,select
I don`t want  Artisan Italian,deselect
I want Red Onions,select
Please remove American Cheese,deselect
I will have Pepper Jack,select
give me American Cheese,select
Please remove sweet onion teriyaki,deselect
give me Red Onions,select
I want Tomatoes,select
remove  mvp parmesan vinaigrette,deselect
give me Swiss,select
I don`t want  black pepper,deselect
remove  roasted garlic aioli,deselect
remove  Lettuce,deselect
Add yellow mustard,select
I will have smashed avocado,select
give me Italian Herbs & Cheese,select
I will have Jalapenos,select
get me Spinach,select
Please remove baja chipotle,deselect
Please remove Artisan Flatbread,deselect
Please add sauce,select
No Artisan Italian,deselect
I choose footlong,select
I will have bacon,select
get me footlong,select
remove  Hearty Multigrain,deselect
Please add Monterey Cheddar,select
give me buffalo sauce,select
Add size,select
No peppercorn ranch,deselect
No Cucumbers,deselect
Please remove veggies,deselect
I will have Red Onions,select
give me addons,select
Please add peppercorn ranch,select
Please add Cucumbers,select
get me Green Peppers,select
Please remove Italian Herbs & Cheese,deselect
I choose Tomato,select
remove  Spinach,deselect
I want American Cheese,select
I want Hearty Multigrain,select
Please add cheese,select
I will have size,select
give me Lettuce,select
I choose parmesan cheese,select
Please add Red Onions,select
No cheese,deselect
I choose Artisan Flatbread,select
Add Banana Peppers,select
I will have parmesan cheese,select
Please add sweet onion teriyaki,select
Please remove Pepper Jack,deselect
I want Cucumbers,select
Please remove honey mustard,deselect
I will have peppercorn ranch,select
Add bread,select
give me smashed avocado,select
I`d like to order smashed avocado,select
Please remove Artisan Italian,deselect
get me Artisan Flatbread,select
I want Jalapeños,select
get me Red Onions,select
remove  Cucumbers,deselect
Add buffalo sauce,select
I want black pepper,select
remove  American Cheese,deselect
get me honey mustard,select
I don`t want  size,deselect
Please add bacon,select
No Lettuce,deselect
I`d like to order bread,select
get me Lettuce,select
I choose yellow mustard,select
I don`t want  veggies,deselect
Please remove Provolone,deselect
I choose sliced avocado,select
Please add Lettuce,select
give me bacon,select
I will have addons,select
I don`t want  smashed avocado,deselect
I`d like to order black pepper,select
Add Black Olives,select
I want regular mayonnaise,select
I choose buffalo sauce,select
I choose Provolone,select
remove  Tomatoes,deselect
remove  bacon,deselect
I will have salt,select
Add Spinach,select
I want addons,select
No Spinach,deselect
I will have capicola,select
No veggies,deselect
I choose Italian Herbs & Cheese,select
Add Green Peppers,select
Add sauce,select
get me Pepper Jack,select
I want Banana Peppers,select
I will have Tomatoes,select
I choose Hearty Multigrain,select
I want Spinach,select
No Monterey Cheddar,deselect
I`d like to order addons,select
get me red wine vinegar,select
Please remove Spinach,deselect
I choose peppercorn ranch,select
No roasted garlic aioli,deselect
Please add honey mustard,select
Please add bread,select
remove  bread,deselect
No Tomatoes,deselect
get me baja chipotle,select
Please add size,select
give me sliced avocado,select
I want baja chipotle,select
I`d like to order Cucumbers,select
Add black pepper,select
get me sliced avocado,select
get me cheese,select
I`d like to order Pepper Jack,select
get me veggies,select
I choose 6,select
I choose addons,select
hey i would like to order a subway,greetings
I don`t want  Pickles,deselect
remove  Artisan Flatbread,deselect
I choose belgioioso fresh mozzarella,select
give me Hearty Multigrain,select
give me cheese,select
please remove Cucumber,deselect
I`d like to order Cucumber,select
Please add Hearty Multigrain,select
Please add black pepper,select
remove  black pepper,deselect
I choose Jalapeños,select
I will have Pickles,select
I will have Cucumber,select
remove  baja chipotle,deselect
Add Monterey Cheddar,select
give me salt,select
I`d like to order Banana Peppers,select
Please remove Swiss,deselect
remove  Swiss,deselect
I choose veggies,select
I`d like to order Monterey Cheddar,select
give me parmesan cheese,select
hey i`d like to order a subway,greetings
I want smashed avocado,select
Please add baja chipotle,select
No Red Onions,deselect
give me bread,select
get me size,select
remove  buffalo sauce,deselect
I want Black Olives,select
I`d like to order Italian Herbs & Cheese,select
Add belgioioso fresh mozzarella,select
I don`t want  cheese,deselect
give me Banana Peppers,select
Please remove smashed avocado,deselect
Please add Spinach,select
Please remove Tomato,deselect
Add honey mustard,select
hello i like to order a subway,greetings
Add roasted garlic aioli,select
I choose sauce,select
Please add 6,select
Please add regular mayonnaise,select
I`d like to order bacon,select
Please remove Black Olives,deselect
I want peppercorn ranch,select
Please remove parmesan cheese,deselect
I choose Pepper Jack,select
I`d like to order sliced avocado,select
I`d like to order Artisan Flatbread,select
I will have Tomato,select
I`d like to order sauce,select
I`d like to order oil,select
get me American Cheese,select
I`d like to order Tomatoes,select
hey i like to order a subway,greetings
get me mvp parmesan vinaigrette,select
I`d like to order cheese,select
Please remove cheese,deselect
Please add American Cheese,select
Please remove Monterey Cheddar,deselect
I don`t want  Provolone,deselect
I choose Spinach,select
No seasonings,deselect
I don`t want  Spinach,deselect
I`d like to order red wine vinegar,select
No pepperoni,deselect
Add capicola,select
I want sliced avocado,select
hi i like to order a subway,greetings
Please remove sauce,deselect
I don`t want  mvp parmesan vinaigrette,deselect
I will have Lettuce,select
remove  capicola,deselect
No parmesan cheese,deselect
Add salt,select
Please add red wine vinegar,select
I want roasted garlic aioli,select
get me bacon,select
I`d like to order mvp parmesan vinaigrette,select
No bread,deselect
remove  Banana Peppers,deselect
No oil,deselect
I don`t want  sauce,deselect
get me oil,select
hey i like to order a sub,greetings
hello i would like to have a subway
I will have red wine vinegar,select
I`d like to order yellow mustard,select
I don`t want  salt,deselect
Please add veggies,select
I choose cheese,select
Please remove buffalo sauce,deselect
No honey mustard,deselect
get me Banana Peppers,select
No Banana Peppers,deselect
I don`t want  footlong,deselect
No American Cheese,deselect
